gameId,playId,quarter,GameClock,possessionTeam,yardlineSide,yardlineNumber,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,SpecialTeamsPlayType,KickReturnYardage,PlayResult,playDescription
2017091710,1060,2,12:39:00,DAL,DAL,35,7,7,7,7,FALSE,Kickoff,-999,46,"D.Bailey kicks 71 yards from DAL 35 to DEN -6. C.Latimer to DEN 19 for 25 yards (J.Heath). FUMBLES (J.Heath), and recovers at DEN 19. C.Latimer to DEN 19 for no gain (J.Heath)."
2017091007,36,1,15:00:00,TEN,TEN,35,0,0,0,0,FALSE,Kickoff,0,15,R.Succop kicks onside 15 yards from TEN 35 to 50. S.Luani (didn't try to advance) to 50 for no gain (T.Smith).
2017091705,4069,4,5:04:00,NO,NO,35,20,36,20,36,FALSE,Kickoff,0,9,W.Lutz kicks onside 9 yards from NO 35 to NO 44. C.Hogan (didn't try to advance) to NO 44 for no gain (T.Edmunds).
2017091703,3939,4,2:11:00,JAX,JAX,35,16,37,16,37,FALSE,Kickoff,0,45,J.Myers kicks 45 yards from JAX 35 to TEN 20. E.Weems to TEN 20 for no gain (K.Cole).
2017091700,2191,2,0:01:00,BAL,BAL,35,21,7,21,7,FALSE,Kickoff,0,24,"J.Tucker kicks onside 24 yards from BLT 35 to CLV 41, impetus ends at 50. I.Campbell (didn't try to advance) to CLV 41 for no gain (M.Judon)."
2017091711,564,1,4:43:00,WAS,WAS,35,0,3,0,3,TRUE,Kickoff,0,63,"D.Hopkins kicks 63 yards from WAS 35 to LA 2. P.Cooper pushed ob at LA 26 for 24 yards (C.Carter). Penalty on LA-C.Littleton, Offensive Holding, offsetting, enforced at LA 2. Penalty on WAS-Q.Dunbar, Face Mask (15 Yards), offsetting."
2017091709,3302,4,8:42:00,NYJ,NYJ,35,42,20,42,20,FALSE,Kickoff,0,13,C.Catanzaro kicks onside 13 yards from NYJ 35 to NYJ 48. D.Washington (didn't try to advance) to NYJ 48 for no gain (J.Stanford).
2017092401,2502,2,0:01:00,BUF,BUF,35,13,13,13,13,FALSE,Kickoff,0,14,S.Hauschka kicks 14 yards from BUF 35 to BUF 49. Z.Anderson (didn't try to advance) to BUF 49 for no gain (R.Blanton). Squib kick.
2017092410,4389,4,1:50:00,SEA,SEA,35,33,27,33,27,FALSE,Kickoff,0,12,(Onside Kick formation) B.Walsh kicks onside 12 yards from SEA 35 to SEA 47. D.Walker (didn't try to advance) to SEA 47 for no gain (J.Coleman).
2017092405,3849,4,6:56:00,CLE,CLE,35,31,21,31,21,FALSE,Kickoff,0,12,Z.Gonzalez kicks onside 12 yards from CLV 35 to CLV 47. J.Doyle (didn't try to advance) to CLV 47 for no gain.
